rep,id,rho,kappa,psi,phi,beta,alpha,delta,theta,scaling,GROUP
1,17,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.280261,5714.73,ctrl
2,17,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.255093,5714.73,ctrl
3,17,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.138175,5714.73,ctrl
4,17,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.274511,5714.73,ctrl
5,17,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.480985,5714.73,ctrl
6,17,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.103092,5714.73,ctrl
7,17,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.33205,5714.73,ctrl
8,17,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.518594,5714.73,ctrl
9,17,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.434247,5714.73,ctrl
10,17,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.0200157,5714.73,ctrl
1,18,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.273666,5714.73,ctrl
2,18,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.150267,5714.73,ctrl
3,18,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.553221,5714.73,ctrl
4,18,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.0103854,5714.73,ctrl
5,18,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.751084,5714.73,ctrl
6,18,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.00916406,5714.73,ctrl
