iteration,convergenceIndicator,phase,theta_pop,omega_theta,b
235,3084.16,2,-0.184241,0.534713,0.414579
236,3086.39,2,-0.179816,0.539371,0.414077
237,3079.68,2,-0.186111,0.528644,0.414371
238,3085.42,2,-0.188144,0.524776,0.416265
239,3086.32,2,-0.194305,0.5251,0.418271
240,3085.69,2,-0.193098,0.523418,0.419077
241,3086.99,2,-0.190008,0.528865,0.41885
242,3080.37,2,-0.18865,0.521106,0.418704
243,3082.56,2,-0.183278,0.516084,0.418291
244,3087.89,2,-0.176101,0.523023,0.417539
245,3087.84,2,-0.179769,0.528518,0.417925
246,3081.94,2,-0.18507,0.526207,0.418516
247,3087.51,2,-0.178002,0.530255,0.417931
248,3089.55,2,-0.173618,0.536235,0.417902
249,3092.4,2,-0.171953,0.540768,0.418413
250,3090.3,2,-0.176199,0.547065,0.418816
251,3086.75,2,-0.178503,0.546628,0.419508
252,3081.74,2,-0.178363,0.544317,0.419057
253,3084.79,2,-0.182904,0.542086,0.419783
254,3088.09,2,-0.184127,0.54259,0.419979
255,3084.84,2,-0.183756,0.542431,0.419922
256,3084.94,2,-0.184649,0.541634,0.420014
257,3083.13,2,-0.18481,0.54109,0.420013
258,3079.59,2,-0.184002,0.540553,0.419748
259,3080.59,2,-0.184932,0.539782,0.41976
260,3090.37,2,-0.185238,0.540418,0.419913
261,3085.56,2,-0.185279,0.540406,0.419915
262,3081.5,2,-0.186137,0.540249,0.419903
263,3085.86,2,-0.185255,0.540599,0.419776
264,3088.21,2,-0.185717,0.542144,0.419685
265,3088.54,2,-0.187242,0.542975,0.419926
266,3081.43,2,-0.187984,0.543068,0.41985
267,3085.01,2,-0.188273,0.543748,0.419785
268,3090.67,2,-0.188079,0.544827,0.419792
269,3087.23,2,-0.187803,0.54499,0.419856
270,3091.24,2,-0.187498,0.545443,0.419901
271,3094.76,2,-0.18787,0.54536,0.420227
272,3087.75,2,-0.187029,0.545447,0.420184
273,3085.23,2,-0.187141,0.545644,0.42015
274,3083.47,2,-0.187843,0.54571,0.420139
275,3084.18,2,-0.187984,0.545926,0.420095
276,3082.85,2,-0.188275,0.545939,0.420107
277,3081.84,2,-0.188718,0.545544,0.420126
278,3086.78,2,-0.187393,0.544984,0.420059
279,3081.88,2,-0.18706,0.544292,0.419993
280,3080.34,2,-0.18778,0.544045,0.419938
281,3086.66,2,-0.188536,0.544168,0.420052
282,3082.14,2,-0.189291,0.544016,0.420069
283,3084.65,2,-0.18834,0.543974,0.419945
284,3080.27,2,-0.188262,0.54375,0.419815
285,3086.02,2,-0.188641,0.544101,0.419833
286,3088.12,2,-0.18919,0.544096,0.419945
287,3079.69,2,-0.1896,0.543958,0.41987
288,3078.31,2,-0.190157,0.54391,0.419779
289,3080.22,2,-0.190389,0.543944,0.419675
290,3082.62,2,-0.189832,0.543985,0.419551
291,3087.48,2,-0.189885,0.544158,0.419576
292,3083.52,2,-0.190835,0.543693,0.41969
293,3086.76,2,-0.190493,0.543936,0.419668
294,3088.16,2,-0.190362,0.544412,0.419663
295,3089.31,2,-0.190019,0.544455,0.419714
296,3082.85,2,-0.189976,0.54455,0.419651
